"module name","license","repository"
"@babel/runtime@7.29.7","MIT","https://github.com/babel/babel"
"@codemirror/autocomplete@6.20.3","MIT","git+https://code.haverbeke.berlin/codemirror/autocomplete"
"@codemirror/commands@6.10.4","MIT","git+https://code.haverbeke.berlin/codemirror/commands"
"@codemirror/lang-css@6.3.1","MIT","https://github.com/codemirror/lang-css"
"@codemirror/lang-html@6.4.11","MIT","https://github.com/codemirror/lang-html"
"@codemirror/lang-javascript@6.2.5","MIT","https://github.com/codemirror/lang-javascript"
"@codemirror/lang-json@6.0.2","MIT","https://github.com/codemirror/lang-json"
"@codemirror/lang-markdown@6.5.1","MIT","git+https://code.haverbeke.berlin/codemirror/lang-markdown"
"@codemirror/lang-python@6.2.1","MIT","https://github.com/codemirror/lang-python"
"@codemirror/lang-yaml@6.1.3","MIT","https://github.com/codemirror/lang-yaml"
"@codemirror/language@6.12.4","MIT","git+https://code.haverbeke.berlin/codemirror/language"
"@codemirror/legacy-modes@6.5.3","MIT","git+https://code.haverbeke.berlin/codemirror/legacy-modes"
"@codemirror/lint@6.9.7","MIT","git+https://code.haverbeke.berlin/codemirror/lint"
"@codemirror/search@6.7.1","MIT","git+https://code.haverbeke.berlin/codemirror/search"
"@codemirror/state@6.7.1","MIT","git+https://code.haverbeke.berlin/codemirror/state"
"@codemirror/theme-one-dark@6.1.3","MIT","https://github.com/codemirror/theme-one-dark"
"@codemirror/view@6.43.7","MIT","git+https://code.haverbeke.berlin/codemirror/view"
"@floating-ui/core@1.8.0","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.8.0","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.9","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react@0.27.20","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.12","MIT","https://github.com/floating-ui/floating-ui"
"@lezer/common@1.5.2","MIT","https://github.com/lezer-parser/common"
"@lezer/css@1.3.4","MIT","git+https://code.haverbeke.berlin/lezer/css"
"@lezer/highlight@1.2.3","MIT","https://github.com/lezer-parser/highlight"
"@lezer/html@1.3.13","MIT","https://github.com/lezer-parser/html"
"@lezer/javascript@1.5.4","MIT","https://github.com/lezer-parser/javascript"
"@lezer/json@1.0.3","MIT","https://github.com/lezer-parser/json"
"@lezer/lr@1.4.10","MIT","git+https://code.haverbeke.berlin/lezer/lr"
"@lezer/markdown@1.7.2","MIT","git+https://code.haverbeke.berlin/lezer/markdown"
"@lezer/python@1.1.19","MIT","git+https://code.haverbeke.berlin/lezer/python"
"@lezer/yaml@1.0.4","MIT","https://github.com/lezer-parser/yaml"
"@mantine/core@9.5.0","MIT","https://github.com/mantinedev/mantine"
"@mantine/hooks@9.5.0","MIT","https://github.com/mantinedev/mantine"
"@mantine/notifications@9.5.0","MIT","https://github.com/mantinedev/mantine"
"@mantine/store@9.5.0","MIT","https://github.com/mantinedev/mantine"
"@marijn/find-cluster-break@1.0.3","MIT","git+https://code.haverbeke.berlin/marijn/find-cluster-break"
"@napi-rs/canvas-win32-x64-msvc@0.1.100","MIT","https://github.com/Brooooooklyn/canvas"
"@napi-rs/canvas@0.1.100","MIT","https://github.com/Brooooooklyn/canvas"
"@tabler/icons-react@3.46.0","MIT","https://github.com/tabler/tabler-icons"
"@tabler/icons@3.46.0","MIT","https://github.com/tabler/tabler-icons"
"@types/react@19.2.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@uiw/codemirror-extensions-basic-setup@4.25.11","MIT","https://github.com/uiwjs/react-codemirror"
"@uiw/react-codemirror@4.25.11","MIT","https://github.com/uiwjs/react-codemirror"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"codemirror@6.0.2","MIT","https://github.com/codemirror/basic-setup"
"crelt@1.0.7","MIT","git+https://code.haverbeke.berlin/marijn/crelt"
"csstype@3.2.3","MIT","https://github.com/frenic/csstype"
"dequal@2.0.3","MIT","https://github.com/lukeed/dequal"
"detect-node-es@1.1.0","MIT","https://github.com/thekashey/detect-node"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"get-nonce@1.0.1","MIT","https://github.com/theKashey/get-nonce"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"js-yaml@5.2.2","MIT","https://github.com/nodeca/js-yaml"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"make-cancellable-promise@2.0.0","MIT","https://github.com/wojtekmaj/make-cancellable-promise"
"make-event-props@2.0.0","MIT","https://github.com/wojtekmaj/make-event-props"
"marked@18.0.7","MIT","https://github.com/markedjs/marked"
"merge-refs@2.0.0","MIT","https://github.com/wojtekmaj/merge-refs"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"pdfjs-dist@5.4.296","Apache-2.0","https://github.com/mozilla/pdf.js"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"react-dom@19.2.8","MIT","https://github.com/react/react"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-number-format@5.4.5","MIT","https://github.com/s-yadav/react-number-format"
"react-pdf@10.4.1","MIT","https://github.com/wojtekmaj/react-pdf"
"react-remove-scroll-bar@2.3.8","MIT","https://github.com/theKashey/react-remove-scroll-bar"
"react-remove-scroll@2.7.2","MIT","https://github.com/theKashey/react-remove-scroll"
"react-style-singleton@2.2.3","MIT","https://github.com/theKashey/react-style-singleton"
"react-transition-group@4.4.5","BSD-3-Clause","https://github.com/reactjs/react-transition-group"
"react@19.2.8","MIT","https://github.com/react/react"
"scheduler@0.27.0","MIT","https://github.com/facebook/react"
"style-mod@4.1.3","MIT","https://github.com/marijnh/style-mod"
"tabbable@6.5.0","MIT","https://github.com/focus-trap/tabbable"
"tagged-tag@1.0.0","MIT","https://github.com/sindresorhus/tagged-tag"
"tiny-invariant@1.3.3","MIT","https://github.com/alexreardon/tiny-invariant"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"type-fest@5.8.0","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
"use-callback-ref@1.3.3","MIT","https://github.com/theKashey/use-callback-ref"
"use-sidecar@1.1.3","MIT","https://github.com/theKashey/use-sidecar"
"w3c-keyname@2.2.8","MIT","https://github.com/marijnh/w3c-keyname"
"warning@4.0.3","MIT","https://github.com/BerkeleyTrue/warning"
